id,probe0,probe1,probe2,probe3,recordedat
1,78.80,78.80,298.40,253.40,2019-01-13 16:54:30.279511-05
2,78.80,78.80,298.40,253.40,2019-01-13 16:54:30.301547-05
3,78.80,78.80,298.40,253.40,2019-01-13 16:54:30.814924-05
4,78.80,78.80,298.40,253.40,2019-01-13 16:54:31.58465-05
5,78.80,78.80,300.20,253.40,2019-01-13 16:54:32.7527-05
6,78.80,78.80,300.20,253.40,2019-01-13 16:54:33.920934-05
7,78.80,78.80,302.00,253.40,2019-01-13 16:54:34.7066-05
8,78.80,78.80,302.00,253.40,2019-01-13 16:54:35.872245-05
9,78.80,78.80,303.80,253.40,2019-01-13 16:54:36.673952-05
10,78.80,78.80,303.80,253.40,2019-01-13 16:54:37.822389-05
11,78.80,78.80,303.80,253.40,2019-01-13 16:54:38.603045-05
12,78.80,78.80,302.00,253.40,2019-01-13 16:54:39.801547-05
13,78.80,78.80,302.00,253.40,2019-01-13 16:54:40.95205-05
14,78.80,78.80,300.20,253.40,2019-01-13 16:54:41.732937-05
15,78.80,78.80,300.20,253.40,2019-01-13 16:54:42.892982-05
16,78.80,78.80,298.40,253.40,2019-01-13 16:54:44.453209-05
17,78.80,78.80,298.40,253.40,2019-01-13 16:54:44.841909-05
18,78.80,78.80,298.40,253.40,2019-01-13 16:54:45.622645-05
19,78.80,78.80,298.40,253.40,2019-01-13 16:54:46.796208-05
20,78.80,78.80,298.40,253.40,2019-01-13 16:54:47.571941-05
21,78.80,78.80,298.40,253.40,2019-01-13 16:54:48.744163-05
22,78.80,78.80,298.40,253.40,2019-01-13 16:54:49.912465-05
23,78.80,80.60,300.20,253.40,2019-01-13 16:54:50.693289-05
24,78.80,80.60,300.20,253.40,2019-01-13 16:54:51.863192-05
25,78.80,80.60,302.00,253.40,2019-01-13 16:54:52.640885-05
26,78.80,80.60,302.00,253.40,2019-01-13 16:54:54.202028-05
27,78.80,80.60,302.00,253.40,2019-01-13 16:54:54.590512-05
28,78.80,80.60,302.00,253.40,2019-01-13 16:54:55.772188-05
29,78.80,80.60,303.80,253.40,2019-01-13 16:54:56.931861-05
30,78.80,80.60,303.80,253.40,2019-01-13 16:54:57.712095-05
31,78.80,80.60,303.80,253.40,2019-01-13 16:54:58.882969-05
32,78.80,80.60,302.00,253.40,2019-01-13 16:54:59.662116-05
33,78.80,80.60,302.00,253.40,2019-01-13 16:55:00.839462-05
34,78.80,80.60,302.00,253.40,2019-01-13 16:55:01.631029-05
35,78.80,80.60,302.00,253.40,2019-01-13 16:55:02.781194-05
36,78.80,80.60,303.80,251.60,2019-01-13 16:55:03.561485-05
37,78.80,80.60,303.80,251.60,2019-01-13 16:55:04.732167-05
38,78.80,80.60,305.60,251.60,2019-01-13 16:55:05.901675-05
39,78.80,80.60,307.40,251.60,2019-01-13 16:55:06.679735-05
40,78.80,80.60,307.40,251.60,2019-01-13 16:55:07.852609-05
41,78.80,80.60,307.40,251.60,2019-01-13 16:55:08.635133-05
42,78.80,80.60,307.40,251.60,2019-01-13 16:55:09.802157-05
43,78.80,80.60,307.40,251.60,2019-01-13 16:55:10.580295-05
44,78.80,80.60,307.40,251.60,2019-01-13 16:55:11.752541-05
45,78.80,80.60,307.40,251.60,2019-01-13 16:55:12.930295-05
46,78.80,80.60,307.40,251.60,2019-01-13 16:55:13.700625-05
47,78.80,80.60,309.20,251.60,2019-01-13 16:55:14.871872-05
48,78.80,80.60,309.20,251.60,2019-01-13 16:55:15.651423-05
49,78.80,80.60,309.20,251.60,2019-01-13 16:55:16.825388-05
50,78.80,80.60,309.20,251.60,2019-01-13 16:55:17.601403-05
51,78.80,80.60,309.20,253.40,2019-01-13 16:55:18.771022-05
52,78.80,80.60,309.20,253.40,2019-01-13 16:55:19.942769-05
53,78.80,80.60,309.20,253.40,2019-01-13 16:55:20.722051-05
54,78.80,80.60,307.40,251.60,2019-01-13 16:55:21.891921-05
55,78.80,80.60,307.40,251.60,2019-01-13 16:55:22.670419-05
56,78.80,80.60,305.60,251.60,2019-01-13 16:55:23.839919-05
57,78.80,80.60,305.60,251.60,2019-01-13 16:55:24.622285-05
58,78.80,80.60,305.60,251.60,2019-01-13 16:55:25.790705-05
59,78.80,80.60,303.80,251.60,2019-01-13 16:55:26.571106-05
60,78.80,80.60,303.80,251.60,2019-01-13 16:55:27.743322-05
61,78.80,80.60,303.80,251.60,2019-01-13 16:55:28.912113-05
